2026-03-19 04:38:16,661 | INFO | pid=48256 | root | Application started in main.py with pid=48256
2026-03-19 04:38:16,661 | INFO | pid=48256 | root | Dispatching folder=ajil0120no1 from main.py
2026-03-19 04:38:16,662 | INFO | pid=48256 | CrossRef.extract | Running folder=ajil0120no1 path=C:\Users\Panda\Documents\Hein_Automation\Input\ajil0120no1 volume=120 issue=1 output=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 04:38:47,501 | INFO | pid=48256 | CrossRef.extract | Fetched folder=ajil0120no1 total_items=24364 filtered_items=18
2026-03-19 04:39:23,381 | INFO | pid=48256 | CrossRef.extract | Saved result for folder=ajil0120no1 to C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 04:39:23,400 | INFO | pid=48256 | root | Starting Webscraper for folder=ajil0120no1 using CrossRef result=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 04:39:23,400 | INFO | pid=48256 | Webscraper.scraper | Webscraper started for folder=ajil0120no1 using CrossRef file=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 04:39:23,401 | INFO | pid=48256 | Webscraper.scraper | Loaded 18 unique DOI(s) from C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 04:39:23,401 | INFO | pid=48256 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10146
2026-03-19 04:39:25,224 | INFO | pid=48256 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10146 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/introduction-to-special-issue/E0EAD625CE088115FD42A5F6AD2FD62F
2026-03-19 04:39:25,226 | INFO | pid=48256 | Webscraper.scraper | Webscraper using path-scoped crawl journal=ajil0120no1 domain=www.cambridge.org base_path=/core/journals/american-journal-of-international-law/article/introduction-to-special-issue/E0EAD625CE088115FD42A5F6AD2FD62F
2026-03-19 04:39:25,226 | INFO | pid=48256 | Webscraper.scraper | Webscraper visiting journal=ajil0120no1 depth=0 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/introduction-to-special-issue/E0EAD625CE088115FD42A5F6AD2FD62F
2026-03-19 04:39:26,457 | INFO | pid=48256 | Webscraper.scraper | Webscraper article found journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/introduction-to-special-issue/E0EAD625CE088115FD42A5F6AD2FD62F score=24
2026-03-19 04:39:26,464 | INFO | pid=48256 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10129
2026-03-19 04:39:28,954 | INFO | pid=48256 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10129 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/abs/scourge-of-war/45D62B699B1E63ADE032712F88712592
2026-03-19 04:39:28,955 | INFO | pid=48256 | Webscraper.scraper | Webscraper using path-scoped crawl journal=ajil0120no1 domain=www.cambridge.org base_path=/core/journals/american-journal-of-international-law/article/abs/scourge-of-war/45D62B699B1E63ADE032712F88712592
2026-03-19 04:39:28,956 | INFO | pid=48256 | Webscraper.scraper | Webscraper visiting journal=ajil0120no1 depth=0 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/abs/scourge-of-war/45D62B699B1E63ADE032712F88712592
2026-03-19 04:39:30,360 | INFO | pid=48256 | Webscraper.scraper | Webscraper article found journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/abs/scourge-of-war/45D62B699B1E63ADE032712F88712592 score=24
2026-03-19 04:39:30,369 | INFO | pid=48256 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10133
2026-03-19 04:39:31,930 | INFO | pid=48256 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10133 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/rise-and-fall-of-lauterpachts-function-of-law/63213D44E73E3685ED940A20BED65CBE
2026-03-19 04:39:31,931 | INFO | pid=48256 | Webscraper.scraper | Webscraper using path-scoped crawl journal=ajil0120no1 domain=www.cambridge.org base_path=/core/journals/american-journal-of-international-law/article/rise-and-fall-of-lauterpachts-function-of-law/63213D44E73E3685ED940A20BED65CBE
2026-03-19 04:39:31,931 | INFO | pid=48256 | Webscraper.scraper | Webscraper visiting journal=ajil0120no1 depth=0 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/rise-and-fall-of-lauterpachts-function-of-law/63213D44E73E3685ED940A20BED65CBE
2026-03-19 04:39:32,863 | INFO | pid=48256 | Webscraper.scraper | Webscraper article found journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/rise-and-fall-of-lauterpachts-function-of-law/63213D44E73E3685ED940A20BED65CBE score=24
2026-03-19 04:39:32,874 | INFO | pid=48256 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10125
2026-03-19 04:39:34,644 | INFO | pid=48256 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10125 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/silicon-sovereigns-artificial-intelligence-international-law-and-the-techindustrial-complex/91E9751E1A9F586F4E4D7FD2FA36556B
2026-03-19 04:39:34,646 | INFO | pid=48256 | Webscraper.scraper | Webscraper using path-scoped crawl journal=ajil0120no1 domain=www.cambridge.org base_path=/core/journals/american-journal-of-international-law/article/silicon-sovereigns-artificial-intelligence-international-law-and-the-techindustrial-complex/91E9751E1A9F586F4E4D7FD2FA36556B
2026-03-19 04:39:34,646 | INFO | pid=48256 | Webscraper.scraper | Webscraper visiting journal=ajil0120no1 depth=0 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/silicon-sovereigns-artificial-intelligence-international-law-and-the-techindustrial-complex/91E9751E1A9F586F4E4D7FD2FA36556B
2026-03-19 04:39:35,665 | INFO | pid=48256 | Webscraper.scraper | Webscraper article found journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/silicon-sovereigns-artificial-intelligence-international-law-and-the-techindustrial-complex/91E9751E1A9F586F4E4D7FD2FA36556B score=24
2026-03-19 04:39:35,687 | INFO | pid=48256 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10139
2026-03-19 04:39:38,923 | INFO | pid=48256 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10139 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/pax-economica-and-its-discontents/6C595BDF5D51820E64061720F45BDECE
2026-03-19 04:39:38,925 | INFO | pid=48256 | Webscraper.scraper | Webscraper using path-scoped crawl journal=ajil0120no1 domain=www.cambridge.org base_path=/core/journals/american-journal-of-international-law/article/pax-economica-and-its-discontents/6C595BDF5D51820E64061720F45BDECE
2026-03-19 04:39:38,925 | INFO | pid=48256 | Webscraper.scraper | Webscraper visiting journal=ajil0120no1 depth=0 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/pax-economica-and-its-discontents/6C595BDF5D51820E64061720F45BDECE
2026-03-19 04:39:39,937 | INFO | pid=48256 | Webscraper.scraper | Webscraper article found journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/pax-economica-and-its-discontents/6C595BDF5D51820E64061720F45BDECE score=24
2026-03-19 04:39:39,950 | INFO | pid=48256 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10134
2026-03-19 04:39:41,945 | INFO | pid=48256 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10134 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/from-necropolitics-to-piety-twail-and-the-other-subject-of-human-rights/2BA16A011078B3C3E41848CCB0DAE671
2026-03-19 04:39:41,947 | INFO | pid=48256 | Webscraper.scraper | Webscraper using path-scoped crawl journal=ajil0120no1 domain=www.cambridge.org base_path=/core/journals/american-journal-of-international-law/article/from-necropolitics-to-piety-twail-and-the-other-subject-of-human-rights/2BA16A011078B3C3E41848CCB0DAE671
2026-03-19 04:39:41,947 | INFO | pid=48256 | Webscraper.scraper | Webscraper visiting journal=ajil0120no1 depth=0 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/from-necropolitics-to-piety-twail-and-the-other-subject-of-human-rights/2BA16A011078B3C3E41848CCB0DAE671
