2026-03-19 05:29:28,619 | INFO | pid=22896 | root | Application started in main.py with pid=22896
2026-03-19 05:29:28,619 | INFO | pid=22896 | root | Dispatching folder=ajil0120no1 from main.py
2026-03-19 05:29:28,620 | INFO | pid=22896 | CrossRef.extract | Running folder=ajil0120no1 path=C:\Users\Panda\Documents\Hein_Automation\Input\ajil0120no1 volume=120 issue=1 output=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 05:30:28,969 | INFO | pid=22896 | CrossRef.extract | Fetched folder=ajil0120no1 total_items=24364 filtered_items=18
2026-03-19 05:31:01,905 | INFO | pid=22896 | CrossRef.extract | Saved result for folder=ajil0120no1 to C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 05:31:01,919 | INFO | pid=22896 | root | Starting Webscraper for folder=ajil0120no1 using CrossRef result=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 05:31:01,919 | INFO | pid=22896 | Webscraper.scraper | Webscraper started for folder=ajil0120no1 using CrossRef file=C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 05:31:01,919 | INFO | pid=22896 | Webscraper.scraper | Loaded 18 unique DOI(s) from C:\Users\Panda\Documents\Hein_Automation\CrossRef\results\ajil0120no1.json
2026-03-19 05:31:01,919 | INFO | pid=22896 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10146
2026-03-19 05:31:03,570 | INFO | pid=22896 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10146 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/introduction-to-special-issue/E0EAD625CE088115FD42A5F6AD2FD62F
2026-03-19 05:31:03,572 | INFO | pid=22896 | Webscraper.scraper | Webscraper fetching article-check journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/introduction-to-special-issue/E0EAD625CE088115FD42A5F6AD2FD62F
2026-03-19 05:31:04,788 | INFO | pid=22896 | Webscraper.scraper | Webscraper inspected DOI landing page journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/introduction-to-special-issue/E0EAD625CE088115FD42A5F6AD2FD62F score=24
2026-03-19 05:31:04,837 | INFO | pid=22896 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10129
2026-03-19 05:31:08,134 | INFO | pid=22896 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10129 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/abs/scourge-of-war/45D62B699B1E63ADE032712F88712592
2026-03-19 05:31:08,137 | INFO | pid=22896 | Webscraper.scraper | Webscraper fetching article-check journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/abs/scourge-of-war/45D62B699B1E63ADE032712F88712592
2026-03-19 05:31:09,108 | INFO | pid=22896 | Webscraper.scraper | Webscraper inspected DOI landing page journal=ajil0120no1 url=https://www.cambridge.org/core/journals/american-journal-of-international-law/article/abs/scourge-of-war/45D62B699B1E63ADE032712F88712592 score=24
2026-03-19 05:31:09,110 | INFO | pid=22896 | Webscraper.scraper | Webscraper resolving DOI for folder=ajil0120no1 doi=10.1017/ajil.2025.10133
2026-03-19 05:31:10,842 | INFO | pid=22896 | Webscraper.scraper | Resolved DOI 10.1017/ajil.2025.10133 to https://www.cambridge.org/core/journals/american-journal-of-international-law/article/rise-and-fall-of-lauterpachts-function-of-law/63213D44E73E3685ED940A20BED65CBE
